"Indicator","PUBLISH STATES","Year","WHO region","Country","Sex","Display Value","Numeric","Low","High","Comments"
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2007","Africa","United Republic of Tanzania","Female","379","378.84130","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2007","Africa","United Republic of Tanzania","Both sexes","401","400.65680","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2008","Africa","United Republic of Tanzania","Male","392","391.83980","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2008","Africa","United Republic of Tanzania","Female","344","343.75880","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2008","Africa","United Republic of Tanzania","Both sexes","367","366.87610","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2009","Africa","United Republic of Tanzania","Male","380","380.44440","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2009","Africa","United Republic of Tanzania","Female","335","334.97960","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2009","Africa","United Republic of Tanzania","Both sexes","357","356.82730","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2010","Africa","United Republic of Tanzania","Male","367","367.15620","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2010","Africa","United Republic of Tanzania","Female","320","319.51750","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2010","Africa","United Republic of Tanzania","Both sexes","343","342.54730","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2011","Africa","United Republic of Tanzania","Male","362","361.95960","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2011","Africa","United Republic of Tanzania","Female","295","295.45320","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2011","Africa","United Republic of Tanzania","Both sexes","328","328.14510","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2012","Africa","United Republic of Tanzania","Male","364","363.56090","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2012","Africa","United Republic of Tanzania","Female","288","287.87070","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2012","Africa","United Republic of Tanzania","Both sexes","325","325.35840","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2013","Africa","United Republic of Tanzania","Male","339","339.38970","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2013","Africa","United Republic of Tanzania","Female","257","257.12620","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2013","Africa","United Republic of Tanzania","Both sexes","298","298.10740","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2014","Africa","United Republic of Tanzania","Male","324","324.33460","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2014","Africa","United Republic of Tanzania","Female","239","239.46500","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2014","Africa","United Republic of Tanzania","Both sexes","282","281.86130","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2015","Africa","United Republic of Tanzania","Male","311","311.32600","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2015","Africa","United Republic of Tanzania","Female","228","228.13090","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2015","Africa","United Republic of Tanzania","Both sexes","270","269.69210","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2016","Africa","United Republic of Tanzania","Male","299","299.32240","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2016","Africa","United Republic of Tanzania","Female","222","222.20480","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2016","Africa","United Republic of Tanzania","Both sexes","261","260.68260","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2000","Africa","Uganda","Male","573","572.53270","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2000","Africa","Uganda","Female","503","503.24860","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2000","Africa","Uganda","Both sexes","536","536.19390","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2001","Africa","Uganda","Male","557","557.22610","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2001","Africa","Uganda","Female","492","491.81950","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2001","Africa","Uganda","Both sexes","523","522.64420","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2002","Africa","Uganda","Male","545","545.39230","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2002","Africa","Uganda","Female","479","479.10000","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2002","Africa","Uganda","Both sexes","510","510.32100","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2003","Africa","Uganda","Male","527","527.20670","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2003","Africa","Uganda","Female","465","465.09550","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2003","Africa","Uganda","Both sexes","494","494.10860","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2004","Africa","Uganda","Male","513","513.36140","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2004","Africa","Uganda","Female","451","451.46020","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2004","Africa","Uganda","Both sexes","480","480.34910","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2005","Africa","Uganda","Male","479","478.77410","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2005","Africa","Uganda","Female","422","421.66400","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2005","Africa","Uganda","Both sexes","448","448.11910","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2006","Africa","Uganda","Male","446","446.26770","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2006","Africa","Uganda","Female","394","394.10890","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2006","Africa","Uganda","Both sexes","418","418.20640","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2007","Africa","Uganda","Male","442","441.61010","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2007","Africa","Uganda","Female","394","394.48770","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2007","Africa","Uganda","Both sexes","416","416.13890","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2008","Africa","Uganda","Male","432","431.91370","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2008","Africa","Uganda","Female","386","385.64040","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2008","Africa","Uganda","Both sexes","407","406.93830","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2009","Africa","Uganda","Male","409","408.76980","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2009","Africa","Uganda","Female","361","360.92430","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2009","Africa","Uganda","Both sexes","383","383.14140","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2010","Africa","Uganda","Male","389","389.37440","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2010","Africa","Uganda","Female","342","342.27110","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2010","Africa","Uganda","Both sexes","364","364.25200","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2011","Africa","Uganda","Male","373","372.60170","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2011","Africa","Uganda","Female","326","325.68140","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2011","Africa","Uganda","Both sexes","348","347.71110","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2012","Africa","Uganda","Male","362","362.35750","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2012","Africa","Uganda","Female","311","310.97900","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2012","Africa","Uganda","Both sexes","335","335.35090","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2013","Africa","Uganda","Male","359","358.57040","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2013","Africa","Uganda","Female","276","275.83610","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2013","Africa","Uganda","Both sexes","316","316.19560","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2014","Africa","Uganda","Male","356","355.74950","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2014","Africa","Uganda","Female","253","253.40320","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2014","Africa","Uganda","Both sexes","304","304.04640","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2015","Africa","Uganda","Male","341","340.64720","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2015","Africa","Uganda","Female","246","246.38600","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2015","Africa","Uganda","Both sexes","293","292.97270","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2016","Africa","Uganda","Male","333","333.39940","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2016","Africa","Uganda","Female","243","243.39730","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2016","Africa","Uganda","Both sexes","288","287.94270","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2000","Europe","Ukraine","Male","374","373.90260","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2000","Europe","Ukraine","Female","137","136.83850","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2000","Europe","Ukraine","Both sexes","258","257.53930","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2001","Europe","Ukraine","Male","368","367.79460","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2001","Europe","Ukraine","Female","136","135.61320","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2001","Europe","Ukraine","Both sexes","254","253.81200","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2002","Europe","Ukraine","Male","372","371.99270","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2002","Europe","Ukraine","Female","138","138.38930","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2002","Europe","Ukraine","Both sexes","257","257.46000","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2003","Europe","Ukraine","Male","372","372.09960","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2003","Europe","Ukraine","Female","140","139.95060","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2003","Europe","Ukraine","Both sexes","258","258.18340","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2004","Europe","Ukraine","Male","387","387.19170","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2004","Europe","Ukraine","Female","145","145.32910","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2004","Europe","Ukraine","Both sexes","269","268.89800","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2005","Europe","Ukraine","Male","402","401.76680","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2005","Europe","Ukraine","Female","152","152.13940","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2005","Europe","Ukraine","Both sexes","280","280.04820","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2006","Europe","Ukraine","Male","387","386.77900","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2006","Europe","Ukraine","Female","146","145.71250","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2006","Europe","Ukraine","Both sexes","268","268.33650","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2007","Europe","Ukraine","Male","401","401.34840","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2007","Europe","Ukraine","Female","150","150.26340","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2007","Europe","Ukraine","Both sexes","278","278.31440","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2008","Europe","Ukraine","Male","398","397.86830","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2008","Europe","Ukraine","Female","149","149.19890","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2008","Europe","Ukraine","Both sexes","275","275.40230","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2009","Europe","Ukraine","Male","341","340.69310","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2009","Europe","Ukraine","Female","131","130.82530","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2009","Europe","Ukraine","Both sexes","235","235.23570","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2010","Europe","Ukraine","Male","317","316.52390","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2010","Europe","Ukraine","Female","121","121.09890","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2010","Europe","Ukraine","Both sexes","218","217.53920","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2011","Europe","Ukraine","Male","305","305.35930","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2011","Europe","Ukraine","Female","115","115.13470","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2011","Europe","Ukraine","Both sexes","209","208.79470","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2012","Europe","Ukraine","Male","308","307.56190","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2012","Europe","Ukraine","Female","117","116.68510","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2012","Europe","Ukraine","Both sexes","211","210.78980","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2013","Europe","Ukraine","Male","303","303.07310","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2013","Europe","Ukraine","Female","113","113.41470","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2013","Europe","Ukraine","Both sexes","207","207.13420","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2014","Europe","Ukraine","Male","312","311.72840","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2014","Europe","Ukraine","Female","113","113.15500","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2014","Europe","Ukraine","Both sexes","212","212.24220","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2015","Europe","Ukraine","Male","276","275.80360","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2015","Europe","Ukraine","Female","102","102.18760","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2015","Europe","Ukraine","Both sexes","188","187.74280","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2016","Europe","Ukraine","Male","264","264.28960","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2016","Europe","Ukraine","Female","98","98.39245","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2016","Europe","Ukraine","Both sexes","180","180.05510","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2000","Americas","Uruguay","Male","180","180.09860","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2000","Americas","Uruguay","Female","89","89.31615","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2000","Americas","Uruguay","Both sexes","134","134.19900","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2001","Americas","Uruguay","Male","168","168.15270","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2001","Americas","Uruguay","Female","87","87.26369","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2001","Americas","Uruguay","Both sexes","127","127.14060","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2002","Americas","Uruguay","Male","171","170.82560","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2002","Americas","Uruguay","Female","88","87.56762","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2002","Americas","Uruguay","Both sexes","129","128.68300","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2003","Americas","Uruguay","Male","165","164.71660","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2003","Americas","Uruguay","Female","87","87.36013","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2003","Americas","Uruguay","Both sexes","125","125.43560","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2004","Americas","Uruguay","Male","164","163.75260","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2004","Americas","Uruguay","Female","88","87.53419","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2004","Americas","Uruguay","Both sexes","125","125.00670","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2005","Americas","Uruguay","Male","163","163.40250","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2005","Americas","Uruguay","Female","87","87.04775","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2005","Americas","Uruguay","Both sexes","125","124.65460","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2006","Americas","Uruguay","Male","157","156.86140","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2006","Americas","Uruguay","Female","80","80.34388","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2006","Americas","Uruguay","Both sexes","118","118.11530","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2007","Americas","Uruguay","Male","165","164.58440","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2007","Americas","Uruguay","Female","85","84.63734","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2007","Americas","Uruguay","Both sexes","124","124.20370","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2008","Americas","Uruguay","Male","156","155.69120","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2008","Americas","Uruguay","Female","82","82.39306","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2008","Americas","Uruguay","Both sexes","119","118.66890","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2009","Americas","Uruguay","Male","157","156.62050","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2009","Americas","Uruguay","Female","80","80.38316","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2009","Americas","Uruguay","Both sexes","118","118.21040","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2010","Americas","Uruguay","Male","156","155.80620","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2010","Americas","Uruguay","Female","80","80.47752","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2010","Americas","Uruguay","Both sexes","118","117.93040","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2011","Americas","Uruguay","Male","155","154.67750","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2011","Americas","Uruguay","Female","81","80.58844","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2011","Americas","Uruguay","Both sexes","117","117.39290","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2012","Americas","Uruguay","Male","156","155.90780","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2012","Americas","Uruguay","Female","81","80.50867","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2012","Americas","Uruguay","Both sexes","118","118.05090","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2013","Americas","Uruguay","Male","155","155.26200","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2013","Americas","Uruguay","Female","79","79.14496","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2013","Americas","Uruguay","Both sexes","117","117.01450","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2014","Americas","Uruguay","Male","150","150.02210","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2014","Americas","Uruguay","Female","79","78.75230","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2014","Americas","Uruguay","Both sexes","114","114.18200","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2015","Americas","Uruguay","Male","149","149.19290","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2015","Americas","Uruguay","Female","80","79.63537","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2015","Americas","Uruguay","Both sexes","114","114.19960","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2016","Americas","Uruguay","Male","149","148.98600","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2016","Americas","Uruguay","Female","79","79.21170","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2016","Americas","Uruguay","Both sexes","114","113.93880","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2000","Americas","United States of America","Male","145","144.52960","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2000","Americas","United States of America","Female","84","83.67208","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2000","Americas","United States of America","Both sexes","114","114.21330","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2001","Americas","United States of America","Male","146","146.11410","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2001","Americas","United States of America","Female","85","85.26921","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2001","Americas","United States of America","Both sexes","116","115.84930","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2002","Americas","United States of America","Male","145","145.30790","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2002","Americas","United States of America","Female","84","84.10820","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2002","Americas","United States of America","Both sexes","115","114.89800","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2003","Americas","United States of America","Male","144","143.53540","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2003","Americas","United States of America","Female","84","83.67283","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2003","Americas","United States of America","Both sexes","114","113.81410","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2004","Americas","United States of America","Male","140","140.33200","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2004","Americas","United States of America","Female","82","81.82986","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2004","Americas","United States of America","Both sexes","111","111.31480","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2005","Americas","United States of America","Male","142","141.84370","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2005","Americas","United States of America","Female","82","82.24714","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2005","Americas","United States of America","Both sexes","112","112.32230","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2006","Americas","United States of America","Male","142","142.00560","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2006","Americas","United States of America","Female","82","82.40565","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2006","Americas","United States of America","Both sexes","113","112.50880","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2007","Americas","United States of America","Male","139","138.64400","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2007","Americas","United States of America","Female","81","80.50507","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2007","Americas","United States of America","Both sexes","110","109.86840","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2008","Americas","United States of America","Male","137","136.65990","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2008","Americas","United States of America","Female","80","79.72144","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2008","Americas","United States of America","Both sexes","108","108.47300","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2009","Americas","United States of America","Male","135","134.95190","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2009","Americas","United States of America","Female","80","80.17417","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2009","Americas","United States of America","Both sexes","108","107.82460","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2010","Americas","United States of America","Male","132","131.64430","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2010","Americas","United States of America","Female","78","78.26348","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2010","Americas","United States of America","Both sexes","105","105.21470","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2011","Americas","United States of America","Male","132","131.69090","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2011","Americas","United States of America","Female","79","79.13763","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2011","Americas","United States of America","Both sexes","106","105.68260","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2012","Americas","United States of America","Male","131","130.94600","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2012","Americas","United States of America","Female","79","79.04637","","",""
