"Indicator","Data Source","PUBLISH STATES","Year","WHO region","World Bank income group","Country","Display Value","Numeric","Low","High","Comments"
"General government expenditure on health as a percentage of total government expenditure","Chad note","Published","2005","Africa","Low-income","Chad","13.49","13.48846","","",""
"General government expenditure on health as a percentage of total government expenditure","Chad note","Published","2006","Africa","Low-income","Chad","8.08","8.07978","","",""
"General government expenditure on health as a percentage of total government expenditure","Chad note","Published","2007","Africa","Low-income","Chad","7.30","7.29788","","",""
"General government expenditure on health as a percentage of total government expenditure","Chad note","Published","2008","Africa","Low-income","Chad","5.28","5.28346","","",""
"General government expenditure on health as a percentage of total government expenditure","Chad note","Published","2009","Africa","Low-income","Chad","5.09","5.08707","","",""
"General government expenditure on health as a percentage of total government expenditure","Chad note","Published","2010","Africa","Low-income","Chad","4.86","4.85507","","",""
"General government expenditure on health as a percentage of total government expenditure","Chad note","Published","2011","Africa","Low-income","Chad","6.85","6.85441","","",""
"General government expenditure on health as a percentage of total government expenditure","Chad note","Published","2012","Africa","Low-income","Chad","5.94","5.93770","","",""
"General government expenditure on health as a percentage of total government expenditure","Chad note","Published","2013","Africa","Low-income","Chad","7.76","7.75780","","",""
"General government expenditure on health as a percentage of total government expenditure","Chad note","Published","2014","Africa","Low-income","Chad","8.97","8.96652","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1995","Africa","Low-income","Togo","7.69","7.68779","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1996","Africa","Low-income","Togo","7.69","7.68779","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1997","Africa","Low-income","Togo","7.69","7.68779","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1998","Africa","Low-income","Togo","7.69","7.68779","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1999","Africa","Low-income","Togo","7.69","7.68779","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2000","Africa","Low-income","Togo","7.69","7.68779","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2001","Africa","Low-income","Togo","7.69","7.68779","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2002","Africa","Low-income","Togo","6.92","6.91624","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2003","Africa","Low-income","Togo","9.53","9.52865","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2004","Africa","Low-income","Togo","10.14","10.14105","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2005","Africa","Low-income","Togo","9.84","9.83885","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2006","Africa","Low-income","Togo","10.65","10.64858","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2007","Africa","Low-income","Togo","10.58","10.57539","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2008","Africa","Low-income","Togo","13.51","13.51148","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2009","Africa","Low-income","Togo","15.43","15.42983","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2010","Africa","Low-income","Togo","8.60","8.59713","","",""
"General government expenditure on health as a percentage of total government expenditure","Turkmenistan note","Published","1995","Europe","Upper-middle-income","Turkmenistan","9.21","9.21492","","",""
"General government expenditure on health as a percentage of total government expenditure","Turkmenistan note","Published","1996","Europe","Upper-middle-income","Turkmenistan","13.86","13.86108","","",""
"General government expenditure on health as a percentage of total government expenditure","Turkmenistan note","Published","1997","Europe","Upper-middle-income","Turkmenistan","13.89","13.89390","","",""
"General government expenditure on health as a percentage of total government expenditure","Turkmenistan note","Published","1998","Europe","Upper-middle-income","Turkmenistan","14.24","14.24415","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2011","Africa","Low-income","Togo","6.95","6.95214","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2012","Africa","Low-income","Togo","7.38","7.37698","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2013","Africa","Low-income","Togo","8.41","8.41071","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2014","Africa","Low-income","Togo","7.85","7.84732","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1995","Europe","Lower-middle-income","Tajikistan","7.42","7.41779","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1996","Europe","Lower-middle-income","Tajikistan","7.25","7.24992","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1997","Europe","Lower-middle-income","Tajikistan","8.48","8.48384","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1998","Europe","Lower-middle-income","Tajikistan","8.21","8.20724","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1999","Europe","Lower-middle-income","Tajikistan","6.99","6.98611","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2000","Europe","Lower-middle-income","Tajikistan","6.46","6.45856","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2001","Europe","Lower-middle-income","Tajikistan","6.41","6.41220","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2002","Europe","Lower-middle-income","Tajikistan","5.64","5.63567","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2003","Europe","Lower-middle-income","Tajikistan","5.61","5.60956","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2004","Europe","Lower-middle-income","Tajikistan","5.33","5.33443","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2005","Europe","Lower-middle-income","Tajikistan","5.88","5.87654","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2006","Europe","Lower-middle-income","Tajikistan","5.93","5.92534","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2007","Europe","Lower-middle-income","Tajikistan","4.34","4.34061","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2008","Europe","Lower-middle-income","Tajikistan","5.04","5.03545","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2009","Europe","Lower-middle-income","Tajikistan","5.36","5.36283","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2010","Europe","Lower-middle-income","Tajikistan","5.87","5.86956","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2011","Europe","Lower-middle-income","Tajikistan","6.23","6.23084","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2012","Europe","Lower-middle-income","Tajikistan","7.49","7.48548","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2013","Europe","Lower-middle-income","Tajikistan","7.33","7.32940","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2014","Europe","Lower-middle-income","Tajikistan","6.84","6.83602","","",""
"General government expenditure on health as a percentage of total government expenditure","Turkmenistan note","Published","1999","Europe","Upper-middle-income","Turkmenistan","12.30","12.30077","","",""
"General government expenditure on health as a percentage of total government expenditure","Turkmenistan note","Published","2000","Europe","Upper-middle-income","Turkmenistan","13.72","13.71508","","",""
"General government expenditure on health as a percentage of total government expenditure","Turkmenistan note","Published","2001","Europe","Upper-middle-income","Turkmenistan","13.71","13.71441","","",""
"General government expenditure on health as a percentage of total government expenditure","Turkmenistan note","Published","2002","Europe","Upper-middle-income","Turkmenistan","13.47","13.47051","","",""
"General government expenditure on health as a percentage of total government expenditure","Turkmenistan note","Published","2003","Europe","Upper-middle-income","Turkmenistan","13.99","13.99491","","",""
"General government expenditure on health as a percentage of total government expenditure","Turkmenistan note","Published","2004","Europe","Upper-middle-income","Turkmenistan","12.80","12.80389","","",""
"General government expenditure on health as a percentage of total government expenditure","Turkmenistan note","Published","2005","Europe","Upper-middle-income","Turkmenistan","10.26","10.25914","","",""
"General government expenditure on health as a percentage of total government expenditure","Turkmenistan note","Published","2006","Europe","Upper-middle-income","Turkmenistan","10.37","10.37281","","",""
"General government expenditure on health as a percentage of total government expenditure","Turkmenistan note","Published","2007","Europe","Upper-middle-income","Turkmenistan","10.36","10.35931","","",""
"General government expenditure on health as a percentage of total government expenditure","Turkmenistan note","Published","2008","Europe","Upper-middle-income","Turkmenistan","8.68","8.68131","","",""
"General government expenditure on health as a percentage of total government expenditure","Turkmenistan note","Published","2009","Europe","Upper-middle-income","Turkmenistan","8.68","8.68131","","",""
"General government expenditure on health as a percentage of total government expenditure","Turkmenistan note","Published","2010","Europe","Upper-middle-income","Turkmenistan","8.68","8.68131","","",""
"General government expenditure on health as a percentage of total government expenditure","Turkmenistan note","Published","2011","Europe","Upper-middle-income","Turkmenistan","8.68","8.68131","","",""
"General government expenditure on health as a percentage of total government expenditure","Turkmenistan note","Published","2012","Europe","Upper-middle-income","Turkmenistan","8.68","8.68131","","",""
"General government expenditure on health as a percentage of total government expenditure","Turkmenistan note","Published","2013","Europe","Upper-middle-income","Turkmenistan","8.68","8.68131","","",""
"General government expenditure on health as a percentage of total government expenditure","Turkmenistan note","Published","2014","Europe","Upper-middle-income","Turkmenistan","8.68","8.68131","","",""
"General government expenditure on health as a percentage of total government expenditure","Timor-Leste note","Published","2000","South-East Asia","Lower-middle-income","Timor-Leste","11.62","11.61597","","",""
"General government expenditure on health as a percentage of total government expenditure","Timor-Leste note","Published","2001","South-East Asia","Lower-middle-income","Timor-Leste","11.62","11.61597","","",""
"General government expenditure on health as a percentage of total government expenditure","Timor-Leste note","Published","2002","South-East Asia","Lower-middle-income","Timor-Leste","11.62","11.61597","","",""
"General government expenditure on health as a percentage of total government expenditure","Timor-Leste note","Published","2003","South-East Asia","Lower-middle-income","Timor-Leste","9.84","9.83942","","",""
"General government expenditure on health as a percentage of total government expenditure","Timor-Leste note","Published","2004","South-East Asia","Lower-middle-income","Timor-Leste","10.08","10.07782","","",""
"General government expenditure on health as a percentage of total government expenditure","Timor-Leste note","Published","2005","South-East Asia","Lower-middle-income","Timor-Leste","10.49","10.49086","","",""
"General government expenditure on health as a percentage of total government expenditure","Timor-Leste note","Published","2006","South-East Asia","Lower-middle-income","Timor-Leste","6.37","6.36503","","",""
"General government expenditure on health as a percentage of total government expenditure","Timor-Leste note","Published","2007","South-East Asia","Lower-middle-income","Timor-Leste","2.24","2.23634","","",""
"General government expenditure on health as a percentage of total government expenditure","Timor-Leste note","Published","2008","South-East Asia","Lower-middle-income","Timor-Leste","5.70","5.69952","","",""
"General government expenditure on health as a percentage of total government expenditure","Timor-Leste note","Published","2009","South-East Asia","Lower-middle-income","Timor-Leste","4.78","4.77894","","",""
"General government expenditure on health as a percentage of total government expenditure","Tonga note","Published","2014","Western Pacific","Upper-middle-income","Tonga","13.50","13.49921","","",""
"General government expenditure on health as a percentage of total government expenditure","Trinidad and Tobago note","Published","1995","Americas","High-income","Trinidad and Tobago","9.35","9.35408","","",""
"General government expenditure on health as a percentage of total government expenditure","Trinidad and Tobago note","Published","1996","Americas","High-income","Trinidad and Tobago","8.21","8.20577","","",""
"General government expenditure on health as a percentage of total government expenditure","Trinidad and Tobago note","Published","1997","Americas","High-income","Trinidad and Tobago","6.43","6.43469","","",""
"General government expenditure on health as a percentage of total government expenditure","Trinidad and Tobago note","Published","1998","Americas","High-income","Trinidad and Tobago","5.82","5.81597","","",""
"General government expenditure on health as a percentage of total government expenditure","Trinidad and Tobago note","Published","1999","Americas","High-income","Trinidad and Tobago","7.94","7.94069","","",""
"General government expenditure on health as a percentage of total government expenditure","Trinidad and Tobago note","Published","2000","Americas","High-income","Trinidad and Tobago","6.77","6.77274","","",""
"General government expenditure on health as a percentage of total government expenditure","Trinidad and Tobago note","Published","2001","Americas","High-income","Trinidad and Tobago","7.45","7.45134","","",""
"General government expenditure on health as a percentage of total government expenditure","Trinidad and Tobago note","Published","2002","Americas","High-income","Trinidad and Tobago","9.61","9.61042","","",""
"General government expenditure on health as a percentage of total government expenditure","Trinidad and Tobago note","Published","2003","Americas","High-income","Trinidad and Tobago","8.90","8.89652","","",""
"General government expenditure on health as a percentage of total government expenditure","Trinidad and Tobago note","Published","2004","Americas","High-income","Trinidad and Tobago","9.15","9.14727","","",""
"General government expenditure on health as a percentage of total government expenditure","Trinidad and Tobago note","Published","2005","Americas","High-income","Trinidad and Tobago","9.64","9.63768","","",""
"General government expenditure on health as a percentage of total government expenditure","Trinidad and Tobago note","Published","2006","Americas","High-income","Trinidad and Tobago","6.91","6.91165","","",""
"General government expenditure on health as a percentage of total government expenditure","Trinidad and Tobago note","Published","2007","Americas","High-income","Trinidad and Tobago","8.28","8.28260","","",""
"General government expenditure on health as a percentage of total government expenditure","Trinidad and Tobago note","Published","2008","Americas","High-income","Trinidad and Tobago","8.98","8.97757","","",""
"General government expenditure on health as a percentage of total government expenditure","Trinidad and Tobago note","Published","2009","Americas","High-income","Trinidad and Tobago","8.78","8.77778","","",""
"General government expenditure on health as a percentage of total government expenditure","Trinidad and Tobago note","Published","2010","Americas","High-income","Trinidad and Tobago","8.33","8.33388","","",""
"General government expenditure on health as a percentage of total government expenditure","Trinidad and Tobago note","Published","2011","Americas","High-income","Trinidad and Tobago","7.42","7.42373","","",""
"General government expenditure on health as a percentage of total government expenditure","Trinidad and Tobago note","Published","2012","Americas","High-income","Trinidad and Tobago","7.76","7.75871","","",""
"General government expenditure on health as a percentage of total government expenditure","Trinidad and Tobago note","Published","2013","Americas","High-income","Trinidad and Tobago","8.05","8.05045","","",""
"General government expenditure on health as a percentage of total government expenditure","Trinidad and Tobago note","Published","2014","Americas","High-income","Trinidad and Tobago","8.17","8.17159","","",""
"General government expenditure on health as a percentage of total government expenditure","Tunisia note","Published","1995","Eastern Mediterranean","Upper-middle-income","Tunisia","10.70","10.69602","","",""
"General government expenditure on health as a percentage of total government expenditure","Tunisia note","Published","1996","Eastern Mediterranean","Upper-middle-income","Tunisia","10.95","10.95332","","",""
"General government expenditure on health as a percentage of total government expenditure","Tunisia note","Published","1997","Eastern Mediterranean","Upper-middle-income","Tunisia","10.60","10.59606","","",""
"General government expenditure on health as a percentage of total government expenditure","Tunisia note","Published","1998","Eastern Mediterranean","Upper-middle-income","Tunisia","11.61","11.61342","","",""
"General government expenditure on health as a percentage of total government expenditure","Timor-Leste note","Published","2010","South-East Asia","Lower-middle-income","Timor-Leste","4.54","4.54366","","",""
"General government expenditure on health as a percentage of total government expenditure","Timor-Leste note","Published","2011","South-East Asia","Lower-middle-income","Timor-Leste","2.38","2.38110","","",""
"General government expenditure on health as a percentage of total government expenditure","Timor-Leste note","Published","2012","South-East Asia","Lower-middle-income","Timor-Leste","2.07","2.07413","","",""
"General government expenditure on health as a percentage of total government expenditure","Timor-Leste note","Published","2013","South-East Asia","Lower-middle-income","Timor-Leste","2.87","2.87131","","",""
"General government expenditure on health as a percentage of total government expenditure","Timor-Leste note","Published","2014","South-East Asia","Lower-middle-income","Timor-Leste","2.44","2.44390","","",""
"General government expenditure on health as a percentage of total government expenditure","Tonga note","Published","1995","Western Pacific","Upper-middle-income","Tonga","9.94","9.93520","","",""
"General government expenditure on health as a percentage of total government expenditure","Tonga note","Published","1996","Western Pacific","Upper-middle-income","Tonga","11.73","11.72970","","",""
"General government expenditure on health as a percentage of total government expenditure","Tonga note","Published","1997","Western Pacific","Upper-middle-income","Tonga","10.69","10.69475","","",""
"General government expenditure on health as a percentage of total government expenditure","Tonga note","Published","1998","Western Pacific","Upper-middle-income","Tonga","12.56","12.56179","","",""
"General government expenditure on health as a percentage of total government expenditure","Tonga note","Published","1999","Western Pacific","Upper-middle-income","Tonga","18.34","18.33622","","",""
"General government expenditure on health as a percentage of total government expenditure","Tonga note","Published","2000","Western Pacific","Upper-middle-income","Tonga","15.38","15.38336","","",""
"General government expenditure on health as a percentage of total government expenditure","Tonga note","Published","2001","Western Pacific","Upper-middle-income","Tonga","17.96","17.95577","","",""
"General government expenditure on health as a percentage of total government expenditure","Tonga note","Published","2002","Western Pacific","Upper-middle-income","Tonga","16.87","16.86796","","",""
"General government expenditure on health as a percentage of total government expenditure","Tonga note","Published","2003","Western Pacific","Upper-middle-income","Tonga","19.96","19.95756","","",""
"General government expenditure on health as a percentage of total government expenditure","Tonga note","Published","2004","Western Pacific","Upper-middle-income","Tonga","18.53","18.52876","","",""
"General government expenditure on health as a percentage of total government expenditure","Tonga note","Published","2005","Western Pacific","Upper-middle-income","Tonga","26.59","26.59424","","",""
"General government expenditure on health as a percentage of total government expenditure","Tonga note","Published","2006","Western Pacific","Upper-middle-income","Tonga","17.41","17.40768","","",""
"General government expenditure on health as a percentage of total government expenditure","Tonga note","Published","2007","Western Pacific","Upper-middle-income","Tonga","19.04","19.03571","","",""
"General government expenditure on health as a percentage of total government expenditure","Tonga note","Published","2008","Western Pacific","Upper-middle-income","Tonga","16.79","16.79266","","",""
"General government expenditure on health as a percentage of total government expenditure","Tonga note","Published","2009","Western Pacific","Upper-middle-income","Tonga","12.64","12.63517","","",""
"General government expenditure on health as a percentage of total government expenditure","Tonga note","Published","2010","Western Pacific","Upper-middle-income","Tonga","13.03","13.02622","","",""
"General government expenditure on health as a percentage of total government expenditure","Tonga note","Published","2011","Western Pacific","Upper-middle-income","Tonga","10.58","10.58176","","",""
"General government expenditure on health as a percentage of total government expenditure","Tonga note","Published","2012","Western Pacific","Upper-middle-income","Tonga","14.13","14.13481","","",""
"General government expenditure on health as a percentage of total government expenditure","Tonga note","Published","2013","Western Pacific","Upper-middle-income","Tonga","13.71","13.70599","","",""
"General government expenditure on health as a percentage of total government expenditure","Tunisia note","Published","1999","Eastern Mediterranean","Upper-middle-income","Tunisia","11.63","11.62555","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2004","Europe","Upper-middle-income","Turkey","10.75","10.75277","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2005","Europe","Upper-middle-income","Turkey","11.28","11.28222","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2006","Europe","Upper-middle-income","Turkey","12.04","12.03854","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2007","Europe","Upper-middle-income","Turkey","11.80","11.80024","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2008","Europe","Upper-middle-income","Turkey","12.21","12.20614","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2009","Europe","Upper-middle-income","Turkey","11.42","11.41827","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2010","Europe","Upper-middle-income","Turkey","10.96","10.96436","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2011","Europe","Upper-middle-income","Turkey","11.25","11.25358","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2012","Europe","Upper-middle-income","Turkey","10.77","10.76844","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2013","Europe","Upper-middle-income","Turkey","10.50","10.50385","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2014","Europe","Upper-middle-income","Turkey","10.50","10.50117","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1995","Western Pacific","Upper-middle-income","Tuvalu","6.32","6.31601","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1996","Western Pacific","Upper-middle-income","Tuvalu","7.49","7.49064","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1997","Western Pacific","Upper-middle-income","Tuvalu","6.86","6.86413","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1998","Western Pacific","Upper-middle-income","Tuvalu","8.94","8.94023","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1999","Western Pacific","Upper-middle-income","Tuvalu","7.23","7.22671","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2000","Western Pacific","Upper-middle-income","Tuvalu","8.46","8.45704","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2001","Western Pacific","Upper-middle-income","Tuvalu","12.73","12.73037","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2002","Western Pacific","Upper-middle-income","Tuvalu","15.94","15.93583","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2003","Western Pacific","Upper-middle-income","Tuvalu","21.14","21.14068","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2004","Western Pacific","Upper-middle-income","Tuvalu","23.03","23.03083","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2005","Western Pacific","Upper-middle-income","Tuvalu","22.87","22.87467","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2006","Western Pacific","Upper-middle-income","Tuvalu","23.14","23.13587","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2007","Western Pacific","Upper-middle-income","Tuvalu","21.65","21.65376","","",""
"General government expenditure on health as a percentage of total government expenditure","Tunisia note","Published","2000","Eastern Mediterranean","Upper-middle-income","Tunisia","11.96","11.96077","","",""
"General government expenditure on health as a percentage of total government expenditure","Tunisia note","Published","2001","Eastern Mediterranean","Upper-middle-income","Tunisia","11.41","11.41058","","",""
"General government expenditure on health as a percentage of total government expenditure","Tunisia note","Published","2002","Eastern Mediterranean","Upper-middle-income","Tunisia","11.20","11.19933","","",""
"General government expenditure on health as a percentage of total government expenditure","Tunisia note","Published","2003","Eastern Mediterranean","Upper-middle-income","Tunisia","11.65","11.65160","","",""
"General government expenditure on health as a percentage of total government expenditure","Tunisia note","Published","2004","Eastern Mediterranean","Upper-middle-income","Tunisia","12.02","12.02459","","",""
"General government expenditure on health as a percentage of total government expenditure","Tunisia note","Published","2005","Eastern Mediterranean","Upper-middle-income","Tunisia","11.88","11.87804","","",""
"General government expenditure on health as a percentage of total government expenditure","Tunisia note","Published","2006","Eastern Mediterranean","Upper-middle-income","Tunisia","12.46","12.45510","","",""
"General government expenditure on health as a percentage of total government expenditure","Tunisia note","Published","2007","Eastern Mediterranean","Upper-middle-income","Tunisia","12.43","12.43131","","",""
"General government expenditure on health as a percentage of total government expenditure","Tunisia note","Published","2008","Eastern Mediterranean","Upper-middle-income","Tunisia","12.29","12.29305","","",""
"General government expenditure on health as a percentage of total government expenditure","Tunisia note","Published","2009","Eastern Mediterranean","Upper-middle-income","Tunisia","14.18","14.18355","","",""
"General government expenditure on health as a percentage of total government expenditure","Tunisia note","Published","2010","Eastern Mediterranean","Upper-middle-income","Tunisia","15.66","15.66130","","",""
"General government expenditure on health as a percentage of total government expenditure","Tunisia note","Published","2011","Eastern Mediterranean","Upper-middle-income","Tunisia","14.64","14.64478","","",""
"General government expenditure on health as a percentage of total government expenditure","Tunisia note","Published","2012","Eastern Mediterranean","Upper-middle-income","Tunisia","14.16","14.16314","","",""
"General government expenditure on health as a percentage of total government expenditure","Tunisia note","Published","2013","Eastern Mediterranean","Upper-middle-income","Tunisia","14.16","14.16314","","",""
"General government expenditure on health as a percentage of total government expenditure","Tunisia note","Published","2014","Eastern Mediterranean","Upper-middle-income","Tunisia","14.16","14.16314","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1995","Europe","Upper-middle-income","Turkey","10.66","10.66059","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1996","Europe","Upper-middle-income","Turkey","10.05","10.04945","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1997","Europe","Upper-middle-income","Turkey","10.78","10.77844","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1998","Europe","Upper-middle-income","Turkey","11.53","11.52913","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1999","Europe","Upper-middle-income","Turkey","10.34","10.34038","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2000","Europe","Upper-middle-income","Turkey","9.76","9.76341","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2001","Europe","Upper-middle-income","Turkey","8.22","8.21692","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2002","Europe","Upper-middle-income","Turkey","9.07","9.07152","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2003","Europe","Upper-middle-income","Turkey","9.73","9.72885","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2008","Western Pacific","Upper-middle-income","Tuvalu","17.43","17.42650","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2013","Africa","Low-income","United Republic of Tanzania","13.44","13.44040","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2014","Africa","Low-income","United Republic of Tanzania","12.31","12.31455","","",""
"General government expenditure on health as a percentage of total government expenditure","Uganda note","Published","1995","Africa","Low-income","Uganda","9.91","9.90737","","",""
"General government expenditure on health as a percentage of total government expenditure","Uganda note","Published","1996","Africa","Low-income","Uganda","9.91","9.90737","","",""
"General government expenditure on health as a percentage of total government expenditure","Uganda note","Published","1997","Africa","Low-income","Uganda","9.91","9.90737","","",""
"General government expenditure on health as a percentage of total government expenditure","Uganda note","Published","1998","Africa","Low-income","Uganda","13.70","13.70064","","",""
"General government expenditure on health as a percentage of total government expenditure","Uganda note","Published","1999","Africa","Low-income","Uganda","11.29","11.29393","","",""
"General government expenditure on health as a percentage of total government expenditure","Uganda note","Published","2000","Africa","Low-income","Uganda","8.77","8.76730","","",""
"General government expenditure on health as a percentage of total government expenditure","Uganda note","Published","2001","Africa","Low-income","Uganda","11.48","11.47728","","",""
"General government expenditure on health as a percentage of total government expenditure","Uganda note","Published","2002","Africa","Low-income","Uganda","11.10","11.10006","","",""
"General government expenditure on health as a percentage of total government expenditure","Uganda note","Published","2003","Africa","Low-income","Uganda","10.86","10.86422","","",""
"General government expenditure on health as a percentage of total government expenditure","Uganda note","Published","2004","Africa","Low-income","Uganda","12.07","12.06931","","",""
"General government expenditure on health as a percentage of total government expenditure","Uganda note","Published","2005","Africa","Low-income","Uganda","14.10","14.09505","","",""
"General government expenditure on health as a percentage of total government expenditure","Uganda note","Published","2006","Africa","Low-income","Uganda","15.11","15.11349","","",""
"General government expenditure on health as a percentage of total government expenditure","Uganda note","Published","2007","Africa","Low-income","Uganda","14.34","14.34446","","",""
"General government expenditure on health as a percentage of total government expenditure","Uganda note","Published","2008","Africa","Low-income","Uganda","16.02","16.01718","","",""
"General government expenditure on health as a percentage of total government expenditure","Uganda note","Published","2009","Africa","Low-income","Uganda","13.45","13.45456","","",""
"General government expenditure on health as a percentage of total government expenditure","Uganda note","Published","2010","Africa","Low-income","Uganda","19.53","19.52791","","",""
"General government expenditure on health as a percentage of total government expenditure","Uganda note","Published","2011","Africa","Low-income","Uganda","16.17","16.17174","","",""
"General government expenditure on health as a percentage of total government expenditure","Uganda note","Published","2012","Africa","Low-income","Uganda","14.34","14.33572","","",""
"General government expenditure on health as a percentage of total government expenditure","Uganda note","Published","2013","Africa","Low-income","Uganda","13.07","13.07103","","",""
"General government expenditure on health as a percentage of total government expenditure","Uganda note","Published","2014","Africa","Low-income","Uganda","10.97","10.96660","","",""
"General government expenditure on health as a percentage of total government expenditure","Ukraine note","Published","1995","Europe","Lower-middle-income","Ukraine","11.42","11.41524","","",""
"General government expenditure on health as a percentage of total government expenditure","Ukraine note","Published","1996","Europe","Lower-middle-income","Ukraine","11.42","11.41524","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2009","Western Pacific","Upper-middle-income","Tuvalu","13.70","13.70349","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2010","Western Pacific","Upper-middle-income","Tuvalu","16.11","16.11296","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2011","Western Pacific","Upper-middle-income","Tuvalu","18.00","17.99775","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2012","Western Pacific","Upper-middle-income","Tuvalu","17.31","17.31207","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2013","Western Pacific","Upper-middle-income","Tuvalu","20.21","20.21472","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2014","Western Pacific","Upper-middle-income","Tuvalu","16.91","16.90798","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1995","Africa","Low-income","United Republic of Tanzania","9.24","9.23637","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1996","Africa","Low-income","United Republic of Tanzania","9.24","9.23637","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1997","Africa","Low-income","United Republic of Tanzania","9.24","9.23637","","",""
